id,neuroticism,extroversion,openness,agreeableness,conscientiousness
0,60,34,40,40,46
5,74,38,46,42,46
6,54,46,48,50,42
7,50,46,56,48,42
8,54,50,56,50,50
9,36,42,58,40,40
10,44,52,58,48,50
11,44,36,50,40,42
12,32,54,54,48,60
14,48,42,50,42,52
15,36,52,50,58,54
20,60,42,38,52,46
22,44,48,56,50,38
23,36,62,54,72,48
24,60,38,36,32,40
28,48,48,50,42,38
30,50,42,36,52,52
31,40,48,50,60,42
32,50,48,62,52,54
36,32,42,40,50,46
37,48,38,40,38,48
39,54,46,48,50,48
40,50,48,54,50,48
41,48,34,48,48,54
43,70,42,50,24,38
44,60,38,48,48,42
45,40,32,56,40,58
46,48,50,56,50,50
47,50,54,50,50,38
48,70,42,46,40,52
49,54,32,54,52,50
50,32,42,54,40,58
51,54,46,48,30,46
53,48,60,64,68,48
54,32,52,64,52,42
55,54,42,46,50,40
56,60,50,48,48,46
57,62,52,40,54,54
58,48,54,48,52,28
59,70,26,48,30,34
60,44,60,40,58,52
62,20,64,50,52,48
63,50,38,50,48,52
64,54,42,48,48,42
65,50,36,40,42,46
66,66,36,48,32,38
67,60,50,46,54,52
68,54,46,50,40,46
69,44,54,56,48,46
